--------- beginning of /dev/log/system
I/Genyd   (   56): Genyd running
D/local_opengl(  109): Starting local_opengl
I/Vold    (  106): Vold 2.1 (the revenge) firing up
D/Vold    (  106): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
I/genymotion_audio(  119): Starting pcm server
I/genymotion_audio(  119): out sampling rate 44100
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
I/SystemServer(  288): Entered the Android system server!
I/SystemServer(  288): Entropy Mixer
I/SystemServer(  288): Power Manager
I/SystemServer(  288): Activity Manager
I/ActivityManager(  288): Memory class: 64
W/BatteryStatsImpl(  288): Couldn't get kernel wake lock stats
I/UsageStats(  288): Deleting usage file : usage-20150618
I/SystemServer(  288): Telephony Registry
I/SystemServer(  288): Scheduling Policy
I/SystemServer(  288): Package Manager
I/ActivityManager(  288): Enabled StrictMode logging for AThread's Looper
W/PackageManager(  288): Boot class path not found: /system/framework/filterfw.jar
W/PackageParser(  288): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #159
W/PackageParser(  288): No actions in intent filter at /system/app/CMFileManager.apk Binary XML file line #127
W/PackageParser(  288): No actions in intent filter at /system/app/Contacts.apk Binary XML file line #533
--------- beginning of /dev/log/main
I/AudioPolicyService(  119): Loaded audio policy from LEGACY Audio Policy HAL (audio_policy)
D/dalvikvm(  288): GC_CONCURRENT freed 217K, 8% free 8979K/9735K, paused 11ms+1ms, total 16ms
D/Sensors (  288): Client connection accepted (44)
I/PackageManager(  288): Package com.google.android.googlequicksearchbox at /system/app/QuickSearchBox.apk ignored: updated version 300412123 better than this 200400000
D/dalvikvm(  288): GC_CONCURRENT freed 236K, 8% free 9153K/9927K, paused 10ms+0ms, total 15ms
